St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
O,ASIAN 267,,,The Islamic Voice,,1.00 ,N,ALS-A MCG,T 0935-1100 Th 0930-1050,TOH 316 TOH 316,"Byl, Julia"
C,ASIAN 268,,,Chinese Calligraphy,,1.00 ,N,ALS-A MCG,T 1145-0110PM Th 1245-0205PM,TOH 314 TOH 314,"Wan, Pin Pin"
C,ASIAN 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ASIAN 298,,,IS/Introductory Korean,,1.00 ,N,,,,"Cannella, Shannon"
O,ASIAN 298,A,,IS/American Buddhism,,1.00 ,N,,,,"Reed, Barbara"
O,ASIAN 300,,T,Topics: E.A. Lang/Ling,,1.00 ,N,,T 0120-0245PM Th 0215-0335PM,TOH 316 TOH 316,"Ito, Rika"
C,ASIAN 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,ASIAN 398,,,IR/,,1.00 ,N,WRI,,,Staff
C,ASIAN 399,,S,Sem: Asia Prerequiste: Asian Studies 275 or permission of instructor.,,1.00 ,N,WRI,M 0700-1000PM,DC 204,"Kucera, Karil J."
C,BI/ES 226,,,Conservation Biology,,1.00 ,N,IST,T 0120-0245PM Th 0215-0335PM,RNS 190 RNS 190,"Deacon, Nicholas J."
C,BI/ES 228,,,Environmental Health,,1.00 ,N,IST,MWF 1150-1245PM,RNS 208,"Angell, Diane K."
C,BIO 121,,,"Biological Science Students in Bio 121 must also register for one lab Bio 121 AL, BL, or CL.",,1.00 ,N,IST SED,MWF 1150-1245PM,RNS 410,"Fruehling, Sara E."
C,BIO 121,A,L,Biological Science Lab,,0.00 ,N,,Th 0900-1100,RNS 454,"Fruehling, Sara E."
C,BIO 121,B,L,Biological Science Lab,,0.00 ,N,,Th 1245-0245PM,RNS 454,"Fruehling, Sara E."
C,BIO 121,C,L,Biological Science Lab,,0.00 ,N,,W 0200-0400PM,RNS 454,"Fruehling, Sara E."
