St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
C,LATIN 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,LATIN 398,,,IR/Translating Hilary,,1.00 ,N,,,,"Reece, Steve T."
C,MATH 117,,,Gateways/Mathematics,,1.00 ,N,AQR,M-F 0800-1000 M-F 1040-1240PM,RNS 204 RNS 204,"Pierce, Ian"
C,MATH 220,,,Elem Linear Algebra Open to first-year students who have completed Math 120. This course has class-year limits.,,1.00 ,N,AQR,M-F 0800-1000 M-F 1040-1240PM M-F 0100-0300PM,TOH 184 TOH 184 TOH 184,"Dietz, Jill"
C,MATH 239,,,Number Theory - Budapest This is an off-campus course.,,1.00 ,N,,,,"Corzatt, Clifton"
C,MATH 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,MATH 298,,,IS/,,1.00 ,N,,,,Staff
C,MATH 356,,,Geometry This course has class-year limits. Seniors must be pre-approved by MSCS chair for this course.,,1.00 ,N,,M-F 1040-1240PM M-F 0100-0300PM,RNS 208 RNS 208,"Matsuura, Ryota"
C,MATH 382,,S,Sem: Cryptography This course has class-year limits. Seniors must be pre-approved by MSCS chair for this course.,,1.00 ,N,,M-F 1040-1240PM M-F 0100-0300PM,TOH 186 TOH 186,"Smith, Kay E."
C,MATH 390,,,Mathematics Practicum Registration by permission of instructor only.,,1.00 ,N,ORC,M-F 0900-1000 M-F 1040-1240PM M-F 0100-0500PM,RNS 297 RNS 297 RNS 297,"Roback, Paul J. Richey, Matthew"
C,MATH 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,MATH 398,,,IR/,,1.00 ,N,,,,Staff
O,MATH 398,A,,IR/Advanced Number Theory,,1.00 ,N,,,,"Corzatt, Clifton"
C,MEDIA 220,,,Cybercultures This course has spaces open to first-year students.,,1.00 ,N,WRI,M-F 1040-1240PM,RML 115,"Richards, Rebecca S."
C,MEDIA 294,,,Academic Internship,,1.00 ,Y,,,,"Hill, Jan C."
O,MEDIA 294,A,,Academic Internship,,1.00 ,Y,,,,"Sonnega, William"
O,MEDIA 294,B,,Academic Internship,,1.00 ,Y,,,,"Richards, Rebecca S."
O,MEDIA 298,,,IS/,,1.00 ,N,,,,Staff
C,MEDIA 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,MEDIA 398,,,IR/,,1.00 ,N,,,,Staff
C,MEDVL 294,,,Academic Internship,,1.00 ,Y,,,,Staff
O,MEDVL 298,,,IS/,,1.00 ,N,,,,Staff
C,MEDVL 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,MEDVL 398,,,IR/,,1.00 ,N,,,,Staff
C,MGMT 231,,,Personal Finance Closed to first-year students.,,1.00 ,N,,M-F 0100-0300PM,HH 413,"Hirsch, Richard M."
C,MGMT 294,,,Academic Internship,,1.00 ,Y,,,,"Goedde, Richard"
C,MGMT 294,A,,Academic Internship,,1.00 ,Y,,,,"Hirsch, Richard M."
O,MGMT 294,B,,Academic Internship,,1.00 ,Y,,,,"Dalgaard, Bruce"
O,MGMT 294,C,,Academic Internship,,1.00 ,Y,,,,"Wojick, Paul"
O,MGMT 298,,,IS/,,1.00 ,N,,,,Staff
C,MGMT 394,,,Academic Internship,,1.00 ,Y,,,,"Goedde, Richard"
O,MGMT 398,,,IR/Value Averaging,,1.00 ,N,WRI,,,"Goedde, Richard"
O,MUSIC 132,,,Orchestral Music,,1.00 ,N,ALS-A,M-Th 1040-0100PM,CHM 232,"Carter, David"
C,MUSIC 231,,,History of Jazz Open to all students.,,1.00 ,N,ALS-A MCD,M-F 0100-0300PM,CHM 239,"Hoekstra, Gerald"
O,MUSIC 236,,,Theatrical Music,,1.00 ,N,ALS-A,M-Th 0900-1000 M-Th 1040-1200PM,CHM 239 CHM 239,"Hanson, Alice"
C,MUSIC 269,,,Opera Workshop Friday coachings TBA Registration by audition and permission only.,,1.00 ,N,,M-Th 1040-1230PM M-Th 0130-0300PM,CHM Urness CHM Urness,"McKeel, James"
C,MUSIC 294,,,Academic Internship,,1.00 ,Y,,,,"McWilliams, Kent M."
O,MUSIC 298,,,IS/Orchestral Conducting,,1.00 ,N,,,,"Amundson, Steven"
O,MUSIC 298,A,,IS/Organ Pedagogy & Lit,,1.00 ,N,,,,"Rodland, Catherine R."
O,MUSIC 298,B,,IS/Organ Pedagogy & Lit,,1.00 ,N,WRI,,,"Rodland, Catherine R."
O,MUSIC 298,C,,IS/Flute Pedagogy,,1.00 ,N,,,,"Ramirez, Catherine"
C,MUSIC 394,,,Academic Internship,,1.00 ,Y,,,,Staff
O,MUSIC 398,,,IR/,,1.00 ,N,,,,Staff
C,NEURO 294,,,Academic Internship,,1.00 ,Y,,,,Staff
